Gene,P.Value,Log FC
UBAC1,8.99e-01,-1.07e-02
SRSF7,9.10e-01,2.10e-02
RNMT,5.63e-01,-8.19e-02
KIF1B,5.31e-01,1.06e-01
KCNQ4,5.51e-01,-7.42e-02
MMGT1,5.30e-01,-7.67e-02
TMEM14B,8.38e-01,3.32e-02
SP7,5.24e-01,4.81e-02
CCDC129,5.21e-01,-4.27e-02
PABPC1L,7.14e-01,4.67e-02
NPPA,5.21e-01,-8.01e-02
ABCC13,5.44e-01,4.48e-02
OR56B1,5.10e-01,-4.46e-02
GUSBP11,9.90e-01,-1.36e-03
PRR23C,5.41e-01,-4.62e-02
OR8J3,6.03e-01,-5.32e-02
ZCCHC5,6.49e-01,4.00e-02
TAAR9,5.36e-01,5.84e-02
TP53I13,7.02e-01,6.72e-02
C19orf38,5.22e-01,5.57e-02
UGT2A2,7.43e-01,-2.04e-02
C9orf47,5.34e-01,4.79e-02
FAM24B,5.67e-01,5.18e-02
KRT72,8.58e-01,-1.27e-02
CCDC77,5.74e-01,1.20e-01
TBC1D28,5.44e-01,3.66e-02
PCDH15,9.08e-01,-8.07e-03
KIAA1210,8.10e-01,1.57e-02
SELPLG,5.82e-01,7.06e-02
CUL2,5.22e-01,7.25e-02
MBL1P,7.57e-01,3.19e-02
ZNF215,5.21e-01,-8.39e-02
CA5B,8.37e-01,1.81e-02
OR52N1,7.17e-01,4.41e-02
TMEM131,5.33e-01,9.52e-02
KRTAP20-3,7.81e-01,-4.16e-02
SSRP1,7.84e-01,2.35e-02
ATP6V0A4,9.22e-01,1.56e-02
SLC22A24,5.54e-01,-7.21e-02
SEL1L2,7.16e-01,-3.86e-02
CSPG4,9.34e-01,-1.68e-02
TSG1,5.37e-01,-5.78e-02
LOC613266,6.40e-01,3.28e-02
PRDM6,7.23e-01,-4.45e-02
AASDH,7.71e-01,-2.56e-02
TTTY8,7.33e-01,-3.07e-02
LOC414300,7.93e-01,-2.77e-02
MARVELD2,8.45e-01,1.92e-02
GBP6,7.39e-01,-3.39e-02
TP53,5.11e-01,-4.48e-02
OR2AE1,5.52e-01,-4.97e-02
C14orf182,6.88e-01,-2.84e-02
PIP5K1A,6.47e-01,3.45e-02
FLJ23152,6.22e-01,6.23e-02
TNR,8.95e-01,2.69e-02
ACER2,5.32e-01,-4.62e-02
LAMTOR1,5.52e-01,-6.48e-02
CHM,9.10e-01,1.70e-02
ADORA2A,8.89e-01,-1.23e-02
CD164L2,7.11e-01,4.59e-02
PDIK1L,6.89e-01,3.97e-02
C21orf49,8.52e-01,3.10e-02
EPHX3,5.52e-01,7.62e-02
PRSS57,5.34e-01,-5.25e-02
C11orf53,6.44e-01,-4.69e-02
OR4C11,6.17e-01,-4.84e-02
VSTM1,6.18e-01,7.05e-02
PTPRK,9.86e-01,1.97e-03
NDUFA3,5.43e-01,-9.04e-02
LOC151475,8.91e-01,1.26e-02
DLX3,5.73e-01,-4.76e-02
THSD4,9.66e-01,3.68e-03
ZYG11A,5.32e-01,4.63e-02
SCAND2,9.36e-01,-1.12e-02
ARMC4,8.76e-01,2.02e-02
ANKRD50,5.45e-01,6.14e-02
LOC400794,6.75e-01,3.34e-02
SSBP3,5.30e-01,6.84e-02
ZDHHC12,6.78e-01,5.76e-02
SYT6,6.11e-01,6.50e-02
TSPAN17,5.91e-01,-6.30e-02
HTR3D,5.31e-01,-4.31e-02
ELL3,9.55e-01,-5.27e-03
LOC283738,9.22e-01,-1.20e-02
NLRP4,5.48e-01,-4.59e-02
ACPP,7.00e-01,-5.27e-02
NAT9,5.60e-01,-7.65e-02
IHH,7.53e-01,-3.69e-02
STAP2,5.48e-01,7.48e-02
YJEFN3,5.29e-01,-3.76e-02
C5orf44,5.53e-01,6.87e-02
C12orf36,7.50e-01,-2.16e-02
FAM127C,5.49e-01,-7.06e-02
UCHL3,9.21e-01,-1.18e-02
SCUBE3,5.34e-01,-6.22e-02
OR5F1,8.35e-01,-1.55e-02
ZIM2,5.44e-01,-6.45e-02
TDRG1,5.72e-01,6.81e-02
HEATR1,5.88e-01,-4.26e-02
CLUL1,5.56e-01,-7.27e-02
LOC100134167,8.30e-01,-1.27e-02
BIK,5.51e-01,4.71e-02
DNAH7,5.38e-01,4.26e-02
LRRC37BP1,6.37e-01,4.10e-02
APOBEC3B,5.71e-01,6.58e-02
PMS1,6.93e-01,-4.31e-02
PTPN11,5.37e-01,5.46e-02
C16orf46,7.33e-01,3.29e-02
LYPD3,7.11e-01,-3.05e-02
EFCAB9,6.09e-01,-5.79e-02
HIST2H2BE,6.71e-01,4.27e-02
LOC388553,6.51e-01,3.61e-02
USP26,5.20e-01,-4.43e-02
SLC30A5,5.23e-01,-5.56e-02
ZNF550,8.12e-01,2.47e-02
HMGA2,5.62e-01,-5.92e-02
LOC389602,5.25e-01,-5.82e-02
PADI6,5.94e-01,3.92e-02
LOC401093,6.19e-01,-3.28e-02
DCTN4,9.64e-01,-6.19e-03
TMEM237,6.44e-01,-9.11e-02
H2BFWT,5.84e-01,-3.40e-02
LOC400655,9.49e-01,-5.16e-03
LINC00312,9.33e-01,6.65e-03
OR6X1,5.32e-01,-6.92e-02
AIM1L,5.97e-01,-6.96e-02
PSD4,7.14e-01,6.92e-02
AKAP9,5.48e-01,5.41e-02
IP6K2,6.74e-01,3.17e-02
SNX13,5.54e-01,8.22e-02
C9orf106,6.42e-01,3.66e-02
PSMD1,5.74e-01,1.04e-01
BLOC1S2,5.70e-01,-1.15e-01
MS4A12,5.62e-01,4.27e-02
DEFB119,6.30e-01,3.58e-02
FAM75C2,5.33e-01,-9.53e-02
HTA,5.40e-01,-7.42e-02
PPYR1,5.59e-01,-6.46e-02
OR4D10,5.52e-01,4.73e-02
RAET1K,5.43e-01,-6.39e-02
ZNF286B,5.58e-01,5.82e-02
CPD,6.80e-01,-8.11e-02
SLC7A9,7.29e-01,-3.19e-02
AACSP1,8.23e-01,-1.98e-02
OR5B21,7.06e-01,-4.93e-02
ZNF493,8.26e-01,2.79e-02
TTLL1,9.75e-01,5.01e-03
RBMX,8.04e-01,1.84e-02
GDF2,5.34e-01,-4.89e-02
TMED11P,9.30e-01,-5.70e-03
HIRA,6.29e-01,-5.36e-02
ZNF564,6.15e-01,3.96e-02
LOC729013,7.40e-01,6.96e-02
TSLP,5.91e-01,3.45e-02
FAM172BP,8.29e-01,-1.47e-02
COPS3,9.22e-01,1.32e-02
LOC100132612,5.44e-01,6.12e-02
GLT8D1,6.86e-01,-3.57e-02
LOC339442,5.24e-01,4.53e-02
CLRN1,5.30e-01,-3.67e-02
C2CD3,6.32e-01,-5.43e-02
LOC100506816,5.35e-01,-3.65e-02
SPG20OS,5.60e-01,4.25e-02
DDX47,6.37e-01,4.97e-02
BHLHA9,8.02e-01,2.00e-02
NEK2,6.73e-01,-2.56e-02
CST11,5.39e-01,-3.06e-02
TMEM231,8.34e-01,1.65e-02
NOTUM,6.06e-01,4.18e-02
KCNJ1,5.38e-01,6.08e-02
NPVF,5.28e-01,4.15e-02
KIF2C,8.89e-01,1.46e-02
ZNF187,5.57e-01,5.89e-02
BUB1B,8.33e-01,2.46e-02
C9orf68,5.27e-01,-3.91e-02
GNAS,6.10e-01,1.46e-01
HNRNPR,6.08e-01,-4.63e-02
FAM188A,6.79e-01,4.41e-02
DTX2,5.83e-01,8.68e-02
FLJ45831,8.26e-01,-1.79e-02
TYR,6.73e-01,-3.51e-02
TTN,8.04e-01,-1.75e-02
LOC100506310,5.59e-01,3.61e-02
DNAH8,5.36e-01,-9.22e-02
KIAA0226,8.26e-01,2.16e-02
KRTAP20-2,6.96e-01,2.85e-02
LRRCC1,8.14e-01,-3.56e-02
ANKRD53,5.31e-01,-6.01e-02
YEATS2,5.31e-01,-6.15e-02
IGSF10,5.57e-01,-5.66e-02
ZNF630,8.51e-01,-2.39e-02
RAI1,5.69e-01,-4.66e-02
SNX29,5.50e-01,-1.09e-01
FLJ32742,5.31e-01,-3.98e-02
OR10R2,6.17e-01,-4.27e-02
RDBP,8.53e-01,2.02e-02
LOC151009,5.25e-01,-5.79e-02
LOC340357,6.34e-01,-3.18e-02
ARSD,5.36e-01,-5.06e-02
LOC646629,6.75e-01,-2.75e-02
NPAS4,5.61e-01,-4.95e-02
SCN5A,5.27e-01,-6.26e-02
KRT16,5.30e-01,-4.86e-02
FAM22G,5.28e-01,-7.31e-02
ZNF121,5.44e-01,4.89e-02
LOC100126584,6.25e-01,5.73e-02
MAS1L,5.26e-01,-4.24e-02
C20orf173,5.77e-01,-5.67e-02
SCP2,7.08e-01,2.96e-02
BRCC3,5.52e-01,-5.48e-02
LENG8,6.20e-01,-4.95e-02
ZSCAN22,7.69e-01,2.67e-02
CYP4F30P,6.56e-01,-6.24e-02
YIPF4,6.32e-01,7.04e-02
LEPROTL1,6.91e-01,8.67e-02
C21orf91-OT1,5.27e-01,4.85e-02
PABPC1P2,7.17e-01,2.62e-02
OR10P1,5.31e-01,4.66e-02
TIPARP,5.43e-01,-4.34e-02
KRTDAP,9.37e-01,-6.67e-03
GALNT8,9.28e-01,5.67e-03
LYRM2,5.78e-01,9.27e-02
DKFZp686K1684,5.38e-01,8.32e-02
UPK1B,7.54e-01,2.65e-02
LOC100289509,9.74e-01,2.71e-03
KIAA0087,5.84e-01,-4.00e-02
ACVR1B,8.30e-01,1.38e-02
CHST6,5.38e-01,-8.78e-02
IL37,5.38e-01,3.41e-02
OR4C16,8.05e-01,-2.76e-02
CDH20,9.63e-01,-8.63e-03
RP9P,7.77e-01,-4.00e-02
ZNF578,6.22e-01,3.81e-02
C11orf80,5.28e-01,5.72e-02
C21orf30,9.47e-01,7.87e-03
CSNK1A1L,5.68e-01,-1.11e-01
C6orf112,5.32e-01,-7.68e-02
R3HDM1,5.32e-01,-6.20e-02
ANKLE1,7.34e-01,2.48e-02
NTNG1,5.77e-01,5.17e-02
LOC221122,6.67e-01,3.15e-02
FDXACB1,5.60e-01,4.60e-02
NCR1,8.31e-01,-2.40e-02
OLAH,5.72e-01,-9.32e-02
MYCBPAP,6.63e-01,6.69e-02
SIGLEC16,6.52e-01,6.56e-02
TAF5L,5.38e-01,4.40e-02
ARHGAP11A,5.44e-01,-6.36e-02
LOC152225,7.78e-01,1.81e-02
SPINLW1-WFDC6,6.72e-01,-5.33e-02
OR5I1,5.67e-01,-3.39e-02
LOC646851,5.49e-01,6.42e-02
TDP1,7.47e-01,-5.10e-02
NCBP1,5.57e-01,4.51e-02
LOC441736,5.43e-01,4.52e-02
MGC2889,6.02e-01,-1.20e-01
MIB2,5.97e-01,3.75e-02
TNKS1BP1,9.10e-01,-1.73e-02
LOC100128219,5.25e-01,4.03e-02
TOMM40L,7.50e-01,3.92e-02
STX17,5.98e-01,4.02e-02
C17orf90,5.30e-01,-5.85e-02
PRG3,8.67e-01,-1.44e-02
COL27A1,5.53e-01,7.17e-02
THBS1,5.72e-01,-5.88e-02
C16orf72,5.36e-01,-4.95e-02
C15orf2,6.72e-01,-3.12e-02
PIK3IP1,7.60e-01,4.53e-02
TNRC6C,9.90e-01,-2.09e-03
KIAA0391,8.75e-01,-2.34e-02
ZNF662,6.11e-01,-6.47e-02
HES3,5.47e-01,-5.48e-02
FLJ16124,6.49e-01,2.92e-02
IL28B,6.48e-01,-2.66e-02
FAM86A,7.23e-01,-4.18e-02
HES1,7.06e-01,5.23e-02
FUNDC2,6.18e-01,5.46e-02
NF2,5.69e-01,-7.15e-02
HAP1,7.73e-01,1.90e-02
CNGA1,6.70e-01,2.86e-02
POM121L10P,6.30e-01,-5.69e-02
GCNT2,5.36e-01,5.22e-02
POLR3B,5.56e-01,7.96e-02
NUB1,6.97e-01,2.62e-02
AS3MT,8.81e-01,-2.02e-02
LOC728573,5.67e-01,-4.15e-02
LECT1,5.58e-01,-9.18e-02
LOC100130761,7.28e-01,2.66e-02
TMPRSS12,5.57e-01,-5.19e-02
GDF6,9.05e-01,-1.09e-02
TOP2A,8.26e-01,-1.53e-02
OR4C45,5.58e-01,-5.41e-02
GTF3C2,5.94e-01,6.84e-02
ETAA1,6.84e-01,6.30e-02
MCF2L,6.29e-01,-4.89e-02
TRIM11,6.60e-01,7.18e-02
TAF12,6.06e-01,4.94e-02
PLEKHD1,7.85e-01,1.91e-02
FLJ39639,9.25e-01,1.03e-02
DNAH6,8.46e-01,3.08e-02
LOC100132529,5.45e-01,5.48e-02
CD99L2,9.07e-01,-8.81e-03
FAM66A,5.62e-01,-7.64e-02
TAS2R60,5.88e-01,6.19e-02
ADAM21,7.74e-01,-2.46e-02
RARB,9.43e-01,-1.04e-02
LINC00315,5.48e-01,8.57e-02
PRAMEF1,5.36e-01,-4.82e-02
KLRD1,9.30e-01,1.02e-02
MS4A3,8.12e-01,-2.23e-02
IFNA21,5.99e-01,-4.63e-02
LOC442122,6.05e-01,-3.43e-02
ANKRD55,5.60e-01,-6.10e-02
LOC100128075,6.61e-01,-7.65e-02
YWHAE,5.68e-01,-5.41e-02
MGAT5B,5.42e-01,-5.06e-02
SERPING1,5.48e-01,-4.25e-02
OR9K2,6.57e-01,-2.92e-02
TADA1,5.72e-01,-7.31e-02
CELA3A,7.61e-01,2.19e-02
ATRIP,5.50e-01,5.45e-02
CSF2RB,5.49e-01,4.31e-02
EGFR,6.76e-01,-3.44e-02
PFN2,6.53e-01,-1.52e-01
NLRP8,5.52e-01,-7.89e-02
MORN2,6.82e-01,-6.75e-02
C20orf20,8.58e-01,-2.14e-02
KCNH1,6.87e-01,-5.87e-02
FAM99B,5.30e-01,-4.01e-02
PDE4D,5.50e-01,5.54e-02
PRDM16,9.77e-01,-2.12e-03
PRSS55,7.97e-01,-2.63e-02
MICAL2,7.62e-01,2.95e-02
ALDH3B1,9.35e-01,-1.26e-02
LLGL1,5.51e-01,-4.70e-02
RBM33,7.55e-01,4.04e-02
LOC283332,6.30e-01,-3.15e-02
SPAG16,7.26e-01,6.08e-02
LOC100132850,5.52e-01,5.79e-02
PHF1,7.20e-01,5.19e-02
FRG2,5.43e-01,3.37e-02
POU4F1,6.13e-01,-3.58e-02
FARS2,7.57e-01,-2.91e-02
GALT,6.57e-01,-5.16e-02
DIABLO,7.04e-01,3.97e-02
CUL1,8.22e-01,-4.31e-02
XPC,7.64e-01,-2.62e-02
FAM86A,5.41e-01,-6.09e-02
DSG2,7.98e-01,2.25e-02
LOC100128881,5.54e-01,3.63e-02
ATXN7L1,5.98e-01,-5.30e-02
SLCO1B7,7.97e-01,-2.52e-02
LOC100131756,5.39e-01,4.12e-02
LOC100131372,5.38e-01,-4.43e-02
DEFB103A,5.33e-01,3.80e-02
LOC100270710,5.68e-01,3.91e-02
KRT85,5.39e-01,-5.30e-02
POU5F2,9.04e-01,-1.12e-02
TMPRSS4,5.91e-01,-4.06e-02
RAET1E,8.00e-01,2.04e-02
ZNF490,8.11e-01,-2.17e-02
ZNF729,6.14e-01,-5.00e-02
ENDOV,5.96e-01,-9.02e-02
DPPA4,5.53e-01,-4.06e-02
LINC00328,5.37e-01,-3.56e-02
TTC38,9.60e-01,7.39e-03
DDX43,8.84e-01,4.47e-02
RSAD2,5.37e-01,-5.52e-02
ETNK1,7.50e-01,-3.90e-02
C2orf81,7.30e-01,4.04e-02
SYNPO2,5.82e-01,1.07e-01
ORMDL3,5.97e-01,6.15e-02
TERC,8.13e-01,3.30e-02
KIF20A,6.58e-01,2.63e-02
FLJ26332,8.02e-01,-4.34e-02
ORMDL1,7.63e-01,5.42e-02
OR51A7,6.70e-01,-4.79e-02
MLANA,8.04e-01,-2.35e-02
LOC100134259,9.82e-01,2.79e-03
ABRA,5.44e-01,-4.51e-02
KRT33B,8.60e-01,-1.21e-02
CABP5,5.35e-01,-5.40e-02
TIAL1,9.48e-01,-1.14e-02
PGLYRP3,6.30e-01,3.60e-02
FHAD1,5.62e-01,9.33e-02
TICAM1,5.68e-01,-4.09e-02
LOC730811,5.58e-01,4.14e-02
SIGLEC5,6.67e-01,-8.06e-02
ABCA4,6.14e-01,-5.07e-02
WFDC12,9.17e-01,7.34e-03
MTERF,9.59e-01,6.83e-03
HTR3A,8.02e-01,1.52e-02
CXCL6,6.30e-01,-3.69e-02
CASP14L,5.80e-01,-8.50e-02
SGCZ,9.76e-01,-2.85e-03
AMPD1,6.54e-01,2.63e-02
TRHR,5.64e-01,-5.04e-02
C6orf10,5.45e-01,-5.88e-02
KLHL28,5.38e-01,6.24e-02
HERC3,6.36e-01,-3.15e-02
NEUROG1,6.06e-01,-8.54e-02
LOC729995,7.97e-01,2.31e-02
C22orf15,8.69e-01,-1.50e-02
GPX5,5.79e-01,-4.12e-02
ISPD,5.59e-01,-5.23e-02
CHD5,9.97e-01,8.50e-04
NSUN2,8.22e-01,-5.65e-02
LOC730159,5.89e-01,-4.02e-02
MTFMT,9.52e-01,-5.58e-03
CDC42BPG,7.66e-01,2.75e-02
KIAA1468,8.38e-01,-3.38e-02
DDX5,8.55e-01,4.25e-02
HEMGN,7.58e-01,-4.03e-02
LOC392288,7.95e-01,3.26e-02
ESRP1,5.34e-01,-3.97e-02
CENPBD1,8.42e-01,-3.27e-02
BCKDK,5.69e-01,-8.75e-02
OR1G1,5.80e-01,-3.75e-02
SUPT3H,6.89e-01,-6.60e-02
ARID5A,5.97e-01,-6.01e-02
LOC728819,8.76e-01,-2.31e-02
C17orf39,6.11e-01,3.37e-02
MYO3A,7.66e-01,-2.56e-02
ADAMTS6,6.01e-01,-5.74e-02
C11orf30,6.36e-01,8.29e-02
RGP1,5.34e-01,3.78e-02
OR8H1,6.75e-01,2.87e-02
FKBP1A,7.46e-01,5.17e-02
OR51B2,5.73e-01,3.08e-02
DPEP1,8.93e-01,-9.64e-03
CLDN12,5.94e-01,9.36e-02
OR9Q1,6.49e-01,-3.48e-02
LOC100507003,5.67e-01,-6.78e-02
LOC100129216,9.46e-01,-5.51e-03
LOC100129240,6.28e-01,-3.54e-02
FOXP2,6.26e-01,-6.68e-02
FAM179A,5.74e-01,-6.81e-02
CTAGE10P,5.36e-01,-4.10e-02
LOC100130954,5.48e-01,-7.30e-02
KCTD14,8.58e-01,1.74e-02
LOC100124692,6.15e-01,4.01e-02
BCL2L15,7.84e-01,2.79e-02
HNF1A,5.54e-01,3.76e-02
SMG1,8.67e-01,2.47e-02
KRTAP9-4,6.02e-01,-4.82e-02
PRLH,7.72e-01,2.29e-02
MAP3K13,6.32e-01,-3.71e-02
AP1S2,5.55e-01,3.87e-02
C1orf86,8.21e-01,-3.40e-02
TMEM57,7.56e-01,-4.57e-02
SYCP3,5.85e-01,-6.62e-02
LOC100128699,6.23e-01,-5.04e-02
OTOG,8.06e-01,2.07e-02
SYAP1,8.58e-01,-1.85e-02
PRY2,7.35e-01,2.80e-02
C2orf70,5.42e-01,4.73e-02
LOC100132292,5.69e-01,6.09e-02
MLLT4,7.82e-01,4.51e-02
PHF12,5.92e-01,4.00e-02
PCDHGA9,6.32e-01,2.96e-02
GLTSCR1,6.45e-01,3.67e-02
HNRNPKP3,5.45e-01,-4.62e-02
CDKN3,6.76e-01,-4.04e-02
AKAP9,6.76e-01,4.76e-02
C1orf172,5.52e-01,5.31e-02
CLDN8,5.47e-01,-4.85e-02
LINC00114,5.40e-01,-4.24e-02
LOC100128501,6.11e-01,-4.05e-02
HSF5,8.63e-01,-1.24e-02
SCD5,5.57e-01,5.34e-02
DHX35,6.02e-01,-5.64e-02
NAIP,6.25e-01,-1.47e-01
CYP7A1,7.97e-01,1.81e-02
CBLC,9.99e-01,7.86e-05
TSTD2,6.71e-01,3.59e-02
ATG5,6.05e-01,8.57e-02
LOC643486,6.71e-01,-5.58e-02
SLC9A3R2,6.63e-01,-9.09e-02
LOC647012,6.36e-01,-3.84e-02
SNX27,9.41e-01,-1.24e-02
ZBTB8OS,6.65e-01,-3.95e-02
LINC00221,8.24e-01,-1.48e-02
ZFP36L1,9.09e-01,2.19e-02
LOC285626,5.57e-01,-4.82e-02
SDR42E1,9.14e-01,-1.69e-02
KPNA6,5.68e-01,6.70e-02
LOC283075,6.25e-01,4.30e-02
IL6,5.60e-01,-4.75e-02
RELL1,6.60e-01,4.99e-02
DDI1,6.87e-01,4.28e-02
GALE,7.45e-01,-4.64e-02
AGER,5.86e-01,-8.58e-02
HBS1L,7.79e-01,-3.48e-02
MLH3,5.95e-01,7.48e-02
NEURL1B,5.53e-01,5.15e-02
LINC00371,5.36e-01,-3.35e-02
LOC284837,5.61e-01,-6.59e-02
C20orf4,7.97e-01,-2.74e-02
KIAA0947,7.52e-01,4.36e-02
BOD1P,5.83e-01,7.44e-02
C1orf201,5.98e-01,-5.12e-02
OR2M5,5.87e-01,-1.25e-01
LOC727710,5.80e-01,3.80e-02
SLC17A4,5.65e-01,-3.88e-02
KCNQ1,7.05e-01,3.32e-02
LOC157562,8.29e-01,3.77e-02
LOC100131023,7.68e-01,3.56e-02
FBXL17,9.58e-01,7.05e-03
CCDC79,5.71e-01,-3.30e-02
LOC392364,6.09e-01,-4.01e-02
C9orf156,6.34e-01,5.70e-02
LOC255025,6.68e-01,2.75e-02
CACNA1G,6.25e-01,3.42e-02
ZNF511,8.50e-01,-4.13e-02
KLRG1,5.95e-01,4.55e-02
HDDC2,8.70e-01,3.43e-02
FEV,5.53e-01,-6.12e-02
ERCC8,6.47e-01,3.43e-02
ZNF658,5.98e-01,-1.04e-01
PLEKHG6,6.16e-01,3.79e-02
ACOT9,5.53e-01,6.07e-02
RARA,8.86e-01,-1.44e-02
OR4K1,5.53e-01,-4.05e-02
TACR1,6.84e-01,-3.49e-02
TRIP12,5.83e-01,-7.29e-02
FAM154A,6.91e-01,-3.25e-02
NIT1,6.13e-01,-5.15e-02
LOC653550,6.63e-01,-3.22e-02
HBE1,5.65e-01,4.09e-02
MYH1,9.17e-01,-8.13e-03
LIPI,7.31e-01,-3.57e-02
TBX15,5.69e-01,-5.21e-02
MGC40069,5.57e-01,-3.85e-02
SNHG1,9.79e-01,-3.12e-03
ARHGAP11A,7.17e-01,-3.60e-02
UBL4A,5.72e-01,1.09e-01
OR5K3,5.44e-01,3.98e-02
ALG1L2,7.67e-01,-2.35e-02
ACADVL,9.04e-01,2.45e-02
OR2W5,6.00e-01,-3.44e-02
COMMD6,5.72e-01,7.38e-02
ACAT1,9.62e-01,7.09e-03
UROD,5.76e-01,8.02e-02
OR1L6,5.47e-01,3.91e-02
ST7L,6.05e-01,-7.56e-02
CNTRL,6.60e-01,-5.83e-02
TUBAL3,5.94e-01,4.43e-02
FAM200A,8.86e-01,-1.24e-02
SOX30,5.48e-01,-4.71e-02
GNAI2,9.92e-01,2.48e-03
BTF3,8.80e-01,1.78e-02
PDZD11,6.38e-01,9.22e-02
CRISP3,8.67e-01,-1.17e-02
CHRNB3,5.42e-01,-3.98e-02
KPNA3,6.39e-01,5.35e-02
C19orf54,9.19e-01,7.21e-03
ABCD1,5.90e-01,-5.76e-02
KRTAP4-7,5.87e-01,-3.59e-02
ACTL9,6.29e-01,3.73e-02
BOLA2B,7.74e-01,3.81e-02
AKAP6,7.63e-01,2.59e-02
CCL22,6.69e-01,-6.69e-02
TINAG,9.24e-01,8.41e-03
SLITRK2,9.12e-01,9.80e-03
LINC00158,9.15e-01,1.36e-02
CYB5RL,5.47e-01,4.60e-02
CCT8L2,5.67e-01,-3.59e-02
ZNF300,8.29e-01,-3.22e-02
LOC100133319,6.94e-01,3.89e-02
ALG8,6.79e-01,6.56e-02
GSTM2,7.18e-01,-4.14e-02
ATXN2,9.55e-01,-6.32e-03
C12orf54,7.13e-01,6.11e-02
USP33,5.98e-01,5.20e-02
LINC00051,9.79e-01,-1.98e-03
ZNF562,6.12e-01,5.74e-02
TKTL2,6.84e-01,-4.26e-02
CCNC,9.49e-01,-5.78e-03
MSX2,6.38e-01,-2.65e-02
TBC1D3B,5.67e-01,-5.12e-02
PRR13,7.57e-01,-3.53e-02
KIR3DL3,9.83e-01,-1.84e-03
TERF1,5.48e-01,-3.26e-02
TOB2P1,7.31e-01,-4.32e-02
DMD,5.65e-01,-4.51e-02
DTYMK,8.69e-01,-1.49e-02
CENPI,9.95e-01,-5.73e-04
LOC285456,6.54e-01,-5.70e-02
LINC00479,5.45e-01,3.87e-02
MED30,8.44e-01,-2.72e-02
HACE1,5.74e-01,-8.16e-02
LOC100132147,6.94e-01,-3.89e-02
RANBP10,7.60e-01,3.66e-02
UBAP1,5.95e-01,7.22e-02
PDE4A,5.49e-01,4.89e-02
CPA1,5.68e-01,5.00e-02
LOC100129461,5.56e-01,4.98e-02
MKI67IP,9.27e-01,1.07e-02
SPTLC2,8.11e-01,-6.59e-02
PIGG,9.30e-01,1.50e-02
LRRC37BP1,6.72e-01,3.01e-02
DLL4,8.46e-01,1.67e-02
PSG10P,7.78e-01,-2.64e-02
BOD1P,6.07e-01,-5.79e-02
FRG2C,5.50e-01,-4.17e-02
DSCR4,5.58e-01,3.51e-02
PHKG1,7.11e-01,-6.41e-02
PLAC9,9.48e-01,-5.67e-03
OR7A5,6.99e-01,-1.22e-01
C4orf50,6.60e-01,7.00e-02
DDX27,5.83e-01,-7.02e-02
OR2Z1,8.80e-01,-1.74e-02
KLF8,6.51e-01,-2.74e-02
PDCL,5.79e-01,7.21e-02
ZNF136,5.65e-01,-6.07e-02
SCN11A,5.69e-01,-5.24e-02
ZACN,6.74e-01,-4.10e-02
SLC26A1,9.74e-01,4.07e-03
PDCL2,6.47e-01,3.79e-02
BCAT2,9.24e-01,-1.11e-02
PKD1,6.53e-01,1.16e-01
RGR,6.08e-01,3.86e-02
OR2T6,6.54e-01,-3.38e-02
ZNF630,5.85e-01,4.70e-02
NBR1,5.47e-01,-3.84e-02
KIAA1524,5.66e-01,-3.95e-02
SRRD,6.63e-01,-5.10e-02
HTN3,6.17e-01,-3.98e-02
KRTAP19-7,7.99e-01,1.58e-02
MYB,7.82e-01,2.37e-02
LBH,9.55e-01,-5.87e-03
LRP11,8.24e-01,4.12e-02
ANKUB1,5.64e-01,-5.47e-02
ZNF485,9.81e-01,2.32e-03
HIST1H3C,5.98e-01,8.82e-02
OR51D1,6.18e-01,3.38e-02
WDR64,7.44e-01,3.09e-02
LOC100131434,8.87e-01,-1.05e-02
CRLF2,5.57e-01,4.45e-02
GHRHR,5.76e-01,-4.30e-02
DYNLRB2,9.35e-01,8.88e-03
LOC389834,9.25e-01,-1.70e-02
METTL19,9.23e-01,-1.31e-02
FAM53C,7.22e-01,3.87e-02
CDRT7,6.63e-01,-3.26e-02
TUBD1,5.80e-01,-6.73e-02
CD34,9.00e-01,1.05e-02
C2orf44,6.13e-01,6.52e-02
SCNN1G,8.28e-01,1.98e-02
ZDHHC14,6.39e-01,-9.12e-02
PSG8,5.54e-01,-4.08e-02
LOC642852,8.12e-01,-1.76e-02
GJD3,6.26e-01,-3.25e-02
IGBP1,9.07e-01,-1.56e-02
FOXB1,7.33e-01,-3.85e-02
TFF1,7.95e-01,-2.50e-02
MCHR1,5.61e-01,-4.96e-02
C19orf70,7.59e-01,5.42e-02
OR1L4,8.24e-01,1.59e-02
EPAG,5.59e-01,-5.13e-02
DIP2C,8.87e-01,1.76e-02
PKDCC,7.74e-01,-1.93e-02
CDRT1,5.65e-01,4.23e-02
TREML3,8.27e-01,-2.51e-02
MAT2B,7.66e-01,-2.46e-02
MORN3,7.22e-01,-4.09e-02
LOC100128429,5.94e-01,-3.76e-02
ANO6,7.16e-01,3.32e-02
MAMSTR,5.62e-01,5.31e-02
ZNF672,5.58e-01,-7.04e-02
LIPT1,6.75e-01,4.85e-02
KRTAP22-2,6.62e-01,-2.88e-02
PIK3C2A,7.91e-01,-3.87e-02
TMEM72-AS1,7.10e-01,3.52e-02
ARL8B,6.30e-01,4.82e-02
C9orf41,9.50e-01,-4.53e-03
LOC145757,9.54e-01,9.96e-03
